STATE,COUNTY,POPULATION,RISK_SCORE,RISK_RATNG,RISK_NPCTL,RISK_SPCTL,FIPS,NDVI_summertime_max,Tree_canopy_cover,Public_park_cover,1kAccessibleParks,Share_of_the_tract_s_land_area_that_is_covered_by_impervious_2,Life_expectancy_raw_value_2021,Access_to_exercise_opportunities_raw_value_2021,Adult_smoking_raw_value_2021,Excessive_drinking_raw_value_2021,Uninsured_raw_value_2021,Adult_obesity_raw_value_2021,feasibility_index,environment_index,community_index,overall_index,result
Mississippi,Lafayette,47351,8.4085114582485,Relatively Low,43.41183959261620,21.951219512195100,28071,0.832875755164204,0.665608596801758,0.17607,1,20.4,78.114334273,0.8050305168,0.1860083804,0.1597302817,0.1415466515,0.327,3.04291491967227E-09,8.71019214562436E-10,1.03094917619074E-08,1.42234258961421E-08,0.0006734934396082260
Mississippi,Bolivar,34145,14.650078639789600,Relatively Moderate,83.25907065563330,82.92682926829270,28011,0.833846713554743,0.127145557403564,0.02105,0,89.75,71.470693463,0.3881973935,0.254701943,0.1418100355,0.1612692981,0.401,1.46487540011818E-09,8.99157722325622E-10,1.0058457360574E-08,1.24224904830179E-08,0.0004241659375426450
Mississippi,Panola,34707,10.472468731689100,Relatively Low,61.58497772119670,43.90243902439030,28107,0.84392667290861,0.469883651733398,0.03434,0,28.83333333333330,73.412241869,0.1805399487,0.2484822124,0.1413403455,0.150406361,0.437,6.81273326450681E-10,7.72748103335138E-10,1.06676044297624E-08,1.21216258595482E-08,0.00042070526870734000
Mississippi,Montgomery,10925,8.432305256893390,Relatively Low,43.63462762571610,23.17073170731710,28097,0.858207076850951,0.672367248535156,0.00013,0,10.666666666666700,72.505756231,0.0805491991,0.23662092,0.1417177105,0.1395348837,0.378,3.03955003914296E-10,7.64087658494156E-10,9.74086047656606E-09,1.08089031389745E-08,0.00011808726679329700
Mississippi,Attala,19564,11.089623066564800,Relatively Low,66.1680458306811,52.4390243902439,28007,0.861497020546747,0.737097396850586,0.01112,0,9.333333333333330,74.0700254,0.331527295,0.2388509024,0.1352613219,0.1453166633,0.428,1.25102895342656E-09,8.05028171941673E-10,1.05556457889274E-08,1.26117029142956E-08,0.00024673535581527900
Mississippi,Carroll,10597,5.683888275993260,Very Low,16.040738383195400,6.097560975609760,28015,0.864778339380182,0.663595504760742,0.00108,0,12.5,77.586431537,0.2130791734,0.2303609562,0.1468496691,0.1570499516,0.287,8.04061141619121E-10,7.59471554647247E-10,1.02497518585421E-08,1.18132845548084E-08,0.00012518537642730500
Mississippi,Sunflower,29450,11.205606988476900,Relatively Low,67.21833227243800,53.65853658536590,28133,0.822611774598957,0.058220672607422,0.00796,3,91.0,70.326305304,0.2777928693,0.2644411868,0.1273785054,0.1515319716,0.537,1.06357916782014E-09,8.48034395961456E-10,1.08689378202609E-08,1.27805513840425E-08,0.0003763872382600510
Mississippi,Leake,23805,12.076922214146400,Relatively Low,73.10630171865050,67.07317073170730,28079,0.85796704619614,0.700338897705078,0.00474,1,4.8,76.139572491,0.2281453476,0.2652320449,0.1314224639,0.1893607201,0.492,8.66020104807683E-10,7.68579411248977E-10,1.21844353660689E-08,1.38190348821256E-08,0.00032896212536899900
Mississippi,Holmes,19198,14.006923729758500,Relatively Moderate,80.8720560152769,79.26829268292680,28051,0.860755528199191,0.569402236938477,0.04894,0,26.8,70.639137966,0.2707052818,0.2938041018,0.0952817706,0.1481804315,0.507,1.02151512254005E-09,8.37524541937425E-10,1.06221936083815E-08,1.2481233272859E-08,0.00023961471637234700
Mississippi,Grenada,21906,9.799975398973570,Relatively Low,56.301718650541100,35.36585365853660,28043,0.798381947969783,0.606690864562988,0.09231,0,20.4,70.142772958,0.3399525244,0.2380747768,0.1363296458,0.1407455391,0.447,1.28282182863661E-09,7.98565817361283E-10,9.782992987801E-09,1.18643806337989E-08,0.00025990112216399900
